case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_001,vinl2vis_30351,calib_001__vinl2vis_30351.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,"The chart is a bar graph comparing the value of different countries for 'Hai so sanh cac nuoc'. The most recent year used in this data set appears to be not specified, but it includes all listed Southeast Asian nations."
calib_002,vinl2vis_29110,calib_002__vinl2vis_29110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing trends over time for various countries, with each country's data represented by different colored lines. The vertical axis represents the value of some metric, while the horizontal axis shows years from 1992 to 2020."
calib_003,vinl2vis_05436,calib_003__vinl2vis_05436.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số livestock production index (2014-2016 = 100) mẫu 15.,area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing livestock production index for various countries from the year 1965 to 2020. The y-axis represents value, and the x-axis shows years."
calib_004,vinl2vis_29510,calib_004__vinl2vis_29510.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing trends over time for various countries, with each country represented by different colored lines. The data appears to be related to some form of measurement or value that increases and decreases throughout the years."
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,no,yes,none,high,"The chart is a bar graph showing portfolio investment net (BOP, current US$) for various countries. The bars represent different countries and their respective values of portfolio investments."
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,no,yes,none,high,"The chart is a bar graph showing net bilateral aid flows from DAC donors, Switzerland (current US$) to various countries. The bars are color-coded by country and the values on each bar represent the amount of aid in millions."
calib_007,vinl2vis_26311,calib_007__vinl2vis_26311.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart is a bar graph comparing the value of Hay so sánh các nước (Countries' Gross Domestic Product) for various countries using their respective names in Vietnamese. The most recent year data is used.
calib_008,vinl2vis_30310,calib_008__vinl2vis_30310.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing the trend of exports over time for various countries. The data appears to be organized by country, with each country represented by a different colored line."
calib_009,vinl2vis_28750,calib_009__vinl2vis_28750.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing trends over time for various countries, with each country represented by a different colored line. The data appears to be related to some form of measurement or value that increases and decreases throughout the years."
calib_010,vinl2vis_28871,calib_010__vinl2vis_28871.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,no,yes,none,high,The chart is a bar graph comparing the value of different countries for 'Hãy so sánh các nước' using data from the latest year.
calib_011,vinl2vis_05196,calib_011__vinl2vis_05196.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 15.,area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing the forest area as a percentage of land area for various countries over time. The data appears to be consistent and relevant, with clear labels on both axes."
calib_012,vinl2vis_23557,calib_012__vinl2vis_23557.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số foreign direct investment, net (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,no,yes,none,high,"The chart is a bar graph showing foreign direct investment net (bop, current us$) for various countries. The bars are color-coded and labeled with country names on the y-axis."
calib_013,vinl2vis_05396,calib_013__vinl2vis_05396.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số food production index (2014-2016 = 100) mẫu 15.,area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing the food production index for various countries from 1965 to 2020. The data points are connected by lines, and each country's trend can be observed over time."
calib_014,vinl2vis_29596,calib_014__vinl2vis_29596.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số external debt stocks, total (dod, current us$) mẫu 15.",area,yes,yes,yes,no,yes,none,high,The chart is a line graph showing the total external debt stocks for various countries over time. The data appears to be presented in current US dollars.
calib_015,vinl2vis_27110,calib_015__vinl2vis_27110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",area,yes,yes,yes,no,yes,none,high,"The chart is a line plot showing the trend of values over time for various countries. The data appears to be related to economic or financial indicators, as suggested by the y-axis label 'value' and the context provided."
calib_016,vinl2vis_24482,calib_016__vinl2vis_24482.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số personal transfers, receipts (bop, current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,not_applicable,yes,none,high,"The chart is a bar graph showing the personal transfers, receipts (BOP), current US$ for various countries. The bars are clearly labeled and distinguishable."
calib_017,vinl2vis_26951,calib_017__vinl2vis_26951.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart is a bar graph comparing the value of various countries in Vietnam for different years.
calib_018,vinl2vis_26711,calib_018__vinl2vis_26711.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart is a bar graph comparing the value of Hay so sánh các nước (GDP) for various countries using their respective names in Vietnamese. The most recent year available for data visualization appears to be 2016.
calib_019,vinl2vis_24117,calib_019__vinl2vis_24117.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số service exports (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart is a bar graph showing service exports for various countries in current US dollars.
calib_020,vinl2vis_05317,calib_020__vinl2vis_05317.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số cereal production (metric tons) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,no,yes,none,high,"The chart is a bar graph showing cereal production in metric tons for various countries. The bars are color-coded to represent different countries, and the height of each bar indicates the amount of cereal produced."
calib_021,vinl2vis_27191,calib_021__vinl2vis_27191.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,"The chart is a bar graph comparing the value of various countries in terms of currency. The data provided includes values for Indonesia, Laos, Philippines, Thailand, and Vietnam."
calib_022,vinl2vis_32864,calib_022__vinl2vis_32864.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,bar,yes,yes,yes,not_applicable,yes,none,high,"The chart displays a bar graph showing the level of water stress for various countries, with freshwater withdrawal as a proportion of available freshwater resources."
calib_023,vinl2vis_29511,calib_023__vinl2vis_29511.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart is a bar graph comparing the value of hay so sánh các nước (hay) in different countries for the most recent year.
calib_024,vinl2vis_32784,calib_024__vinl2vis_32784.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, domestic (% of total freshwater withdrawal).",bar,yes,no,yes,not_applicable,yes,none,medium,"The chart is a bar plot showing annual freshwater withdrawals by country, but the labels are not readable."
calib_025,vinl2vis_28791,calib_025__vinl2vis_28791.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,"The chart is a bar graph comparing the values of three countries for 'Hay so sanh cac nuoc'. The data presented uses years as categories, and each country has its own set of bars representing different values. It's visually clear with distinct colors to differentiate between them."
calib_026,vinl2vis_05116,calib_026__vinl2vis_05116.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số tree cover loss (hectares) mẫu 15.,unknown,yes,yes,yes,no,yes,none,medium,The chart is a line graph showing tree cover loss in hectares for various countries over time. The data appears to be accurate and the visual representation effectively conveys trends.
calib_027,vinl2vis_29070,calib_027__vinl2vis_29070.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",area,yes,yes,yes,no,yes,none,high,"The chart is a line graph showing the trend of exports over time for various countries. The data appears to be organized by country, with each country represented by a different colored line."
calib_028,vinl2vis_30664,calib_028__vinl2vis_30664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số carbon dioxide (co2) emissions from fugitive emissions (energy) (mt co2e).,bar,yes,yes,yes,no,yes,none,high,The chart is a bar graph showing CO2 emissions from fugitive emissions (energy) for various countries. The bars are labeled with country names and the values on the y-axis represent the amount of CO2 in MtCO2e.
calib_029,vinl2vis_31664,calib_029__vinl2vis_31664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions from waste (mt co2e).,bar,yes,yes,yes,not_applicable,yes,none,high,"The chart displays a bar graph showing the N2O emissions from waste in various countries, measured in metric tons of CO2 equivalent (mt co2e)."
calib_030,vinl2vis_32584,calib_030__vinl2vis_32584.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số aquaculture production (metric tons).,bar,yes,yes,yes,not_applicable,yes,none,high,The chart displays a bar graph ranking countries by aquaculture production in metric tons.
calib_031,vinl2vis_25922,calib_031__vinl2vis_25922.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số external debt stocks (% of gni) ở các quốc gia, biến thể 21.",unknown,yes,yes,yes,no,yes,none,high,"The chart is a bar graph showing the percentage of external debt stocks as a proportion of GNI for various countries. The bars are clearly labeled and readable, with each country's name displayed on the x-axis."
