comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct
Expert 1 vs Expert 2,240,0.6905060644081974,84.58333333333333,240,0.8491620111731845,92.5,240,0.5880622110130306,79.58333333333333,240,0.6826059720192107,84.16666666666667,240,,100.0
Expert 1 vs Expert 3,240,0.6897274633123689,84.58333333333333,240,0.88268156424581,94.16666666666667,240,0.6136618141097424,80.83333333333333,240,0.6660404925902734,83.33333333333334,240,,100.0
Expert 1 vs Expert 4,240,0.6825396825396826,84.16666666666667,240,0.8662207357859532,93.33333333333333,240,0.5880622110130306,79.58333333333333,240,0.6832673473640342,84.16666666666667,240,,100.0
Expert 1 vs Expert 5,240,0.72396486825596,86.25,240,0.8659217877094972,93.33333333333333,240,0.6064200976971389,80.41666666666667,240,0.699812382739212,85.0,240,,100.0
Expert 2 vs Expert 3,240,0.7308096740273398,86.66666666666667,240,0.8825174825174825,94.16666666666667,240,0.5896147403685091,79.58333333333333,240,0.7314873085798197,86.66666666666667,240,,100.0
Expert 2 vs Expert 4,240,0.8410706817231283,92.08333333333333,240,0.8661087866108786,93.33333333333333,240,0.5809763251623716,79.16666666666666,240,0.6497324344985752,82.5,240,,100.0
Expert 2 vs Expert 5,240,0.8156295830714435,90.83333333333333,240,0.8657342657342658,93.33333333333333,240,0.6656217345872519,83.33333333333334,240,0.7327208185424933,86.66666666666667,240,,100.0
Expert 3 vs Expert 4,240,0.7232704402515724,86.25,240,0.8828451882845189,94.16666666666667,240,0.5728643216080402,78.75,240,0.699812382739212,85.0,240,,100.0
Expert 3 vs Expert 5,240,0.7644584647739221,88.33333333333333,240,0.8825174825174825,94.16666666666667,240,0.6740947075208914,83.75,240,0.7662283448131914,88.33333333333333,240,,100.0
Expert 4 vs Expert 5,240,0.8243412797992471,91.25,240,0.8493723849372385,92.5,240,0.6656217345872519,83.33333333333334,240,0.733277766201292,86.66666666666667,240,,100.0
