case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_001,vinl2vis_30351,calib_001__vinl2vis_30351.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with the title 'Hãy so sánh các nước. Dùng năm mới nhất.' The x-axis represents different countries, and the y-axis shows their respective values."
calib_002,vinl2vis_29110,calib_002__vinl2vis_29110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines representing different countries. The x-axis represents the years, and the y-axis represents the value of the metric."
calib_003,vinl2vis_05436,calib_003__vinl2vis_05436.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số livestock production index (2014-2016 = 100) mẫu 15.,line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the livestock production index from 2014 to 2016, with each country's data represented by a separate line. The x-axis shows the years, and the y-axis represents the production index value."
calib_004,vinl2vis_29510,calib_004__vinl2vis_29510.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,The chart is a line chart with multiple lines representing different countries' data over time.
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays portfolio investment net (BOP, current US$) for various countries. The query asks for the number of portfolio investments in each country, which can be inferred from the height of the bars."
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the net bilateral aid flows from DAC donors, Switzerland (current US$) to various countries. The data is presented in a clear and organized manner, with each country represented by a distinct color."
calib_007,vinl2vis_26311,calib_007__vinl2vis_26311.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with the title 'Hãy so sánh các nước. Dùng năm mới nhất.' The x-axis represents different countries, and the y-axis shows the value of each country's GDP in trillion USD. The chart is labeled correctly, with readable labels for both axes."
calib_008,vinl2vis_30310,calib_008__vinl2vis_30310.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines representing different countries. The x-axis represents the years, and the y-axis represents the value of the metric."
calib_009,vinl2vis_28750,calib_009__vinl2vis_28750.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,The chart is a line chart with multiple lines representing different countries' data over time.
calib_010,vinl2vis_28871,calib_010__vinl2vis_28871.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with multiple bars representing different countries. The x-axis shows the years, and the y-axis represents the value of each country."
calib_011,vinl2vis_05196,calib_011__vinl2vis_05196.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 15.,line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the forest area percentage of land area for each country over time. The x-axis represents the years, and the y-axis represents the percentage of forest area."
calib_012,vinl2vis_23557,calib_012__vinl2vis_23557.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số foreign direct investment, net (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays foreign direct investment (FDI) in current US dollars for various countries. The query asks for the value of FDI in Vietnam, which is represented by the second bar from the left."
calib_013,vinl2vis_05396,calib_013__vinl2vis_05396.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số food production index (2014-2016 = 100) mẫu 15.,line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the food production index from 2014 to 2016, with each year represented by a separate line. The x-axis shows the years and the y-axis shows the percentage of food production index."
calib_014,vinl2vis_29596,calib_014__vinl2vis_29596.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số external debt stocks, total (dod, current us$) mẫu 15.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the total external debt stocks in current US dollars for each country. The x-axis represents the years from 1970 to 2020, and the y-axis shows the value of external debt in billions of US dollars."
calib_015,vinl2vis_27110,calib_015__vinl2vis_27110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines representing different countries, and it includes various data points for each year."
calib_016,vinl2vis_24482,calib_016__vinl2vis_24482.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số personal transfers, receipts (bop, current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the number of personal transfers and receipts (bop, current US$) in various countries. The query asks for the data from Cambodia, Indonesia, Laos, Myanmar, Philippines, and Thailand."
calib_017,vinl2vis_26951,calib_017__vinl2vis_26951.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with the title 'Hãy so sánh các nước. Dùng năm mới nhất.' It has multiple bars representing different countries, and each country's value is displayed on the x-axis."
calib_018,vinl2vis_26711,calib_018__vinl2vis_26711.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with the title 'Hãy so sánh các nước. Dùng năm mới nhất.' The x-axis represents different countries, and the y-axis shows their population in millions."
calib_019,vinl2vis_24117,calib_019__vinl2vis_24117.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số service exports (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,unknown,"The chart is a bar chart that displays the service exports in current US dollars for 16 countries. The x-axis represents the countries, and the y-axis represents the export value in billions of US dollars."
calib_020,vinl2vis_05317,calib_020__vinl2vis_05317.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số cereal production (metric tons) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays cereal production in metric tons for various countries, with the data presented as a stacked bar chart. The chart is labeled appropriately and the labels are readable."
calib_021,vinl2vis_27191,calib_021__vinl2vis_27191.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with the title 'Hãy so sánh các nước. Dùng năm mới nhất.' The x-axis represents different countries, and the y-axis shows their population in millions."
calib_022,vinl2vis_32864,calib_022__vinl2vis_32864.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,bar,yes,no,no,not_applicable,unclear,none,low,"The chart is not suitable for the query as it does not display any data or information related to water stress levels, freshwater withdrawal, or available freshwater resources."
calib_023,vinl2vis_29511,calib_023__vinl2vis_29511.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with multiple bars representing different countries. The x-axis shows the years, and the y-axis represents the value of each country."
calib_024,vinl2vis_32784,calib_024__vinl2vis_32784.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, domestic (% of total freshwater withdrawal).",bar,yes,no,yes,not_applicable,yes,none,low,"The chart is a bar chart, but the query asks for annual freshwater withdrawals as a percentage of total freshwater withdrawal. The data provided does not include this information."
calib_025,vinl2vis_28791,calib_025__vinl2vis_28791.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart with three bars representing different countries, each corresponding to a year. The x-axis shows the years from 2015 to 2020, and the y-axis represents the value of the data."
calib_026,vinl2vis_05116,calib_026__vinl2vis_05116.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số tree cover loss (hectares) mẫu 15.,line,yes,no,yes,not_applicable,unclear,none,low,"The chart is a line chart, but the query asks for a bar chart. The chart does not have clear labels or a title that accurately reflects the data being presented."
calib_027,vinl2vis_29070,calib_027__vinl2vis_29070.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines representing different countries. The x-axis represents the years, and the y-axis represents the value of the metric."
calib_028,vinl2vis_30664,calib_028__vinl2vis_30664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số carbon dioxide (co2) emissions from fugitive emissions (energy) (mt co2e).,bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the carbon dioxide (CO2) emissions from fugitive emissions (energy) in metric tons of CO2e for various countries. The x-axis represents the countries, and the y-axis shows the emission values."
calib_029,vinl2vis_31664,calib_029__vinl2vis_31664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions from waste (mt co2e).,bar,yes,yes,yes,yes,yes,none,high,The chart is a bar chart that displays nitrous oxide (N2O) emissions from waste in metric tons of CO2 equivalent for various countries. The chart is readable and the relevant fields are visible.
calib_030,vinl2vis_32584,calib_030__vinl2vis_32584.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số aquaculture production (metric tons).,bar,yes,yes,yes,yes,yes,none,unknown,"The chart is a bar chart with the title 'Xếp hạng các nước theo chỉ số aquaculture production (metric tons)'. It displays data for various countries, but the specific values are not readable due to the lack of visible labels and transform preservation."
calib_031,vinl2vis_25922,calib_031__vinl2vis_25922.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số external debt stocks (% of gni) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the external debt stocks as a percentage of GNI for various countries. The data is presented in a clear and readable format, with each country's name on the x-axis and its corresponding external debt stocks on the y-axis."
calib_032,vinl2vis_05201,calib_032__vinl2vis_05201.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 20.,line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the forest area percentage of land area for each country from 1996 to 2020. The x-axis represents the years, and the y-axis shows the percentage of forest area."
calib_033,vinl2vis_26910,calib_033__vinl2vis_26910.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines representing different countries. The x-axis represents the years, and the y-axis represents the value of the metric."
calib_034,vinl2vis_30464,calib_034__vinl2vis_30464.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số methane (ch4) emissions from transport (energy) (mt co2e).,bar,yes,no,yes,not_applicable,yes,none,low,The chart is not readable as the labels are in Vietnamese and there's no clear indication of what each bar represents.
calib_035,vinl2vis_31984,calib_035__vinl2vis_31984.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số population in urban agglomerations of more than 1 million.,bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the population of urban agglomerations in more than 1 million people for various countries. The x-axis represents different countries, and the y-axis shows the population size."
calib_036,vinl2vis_25201,calib_036__vinl2vis_25201.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, denmark (current us$) mẫu 20.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the net bilateral aid flows from DAC donors, Denmark (current US$) over time. The x-axis represents the years, and the y-axis represents the amount of aid in current US dollars."
calib_037,vinl2vis_33584,calib_037__vinl2vis_33584.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số total reserves in months of imports.,bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the total reserves in months of imports for various countries. The x-axis represents different countries, and the y-axis shows the value of total reserves."
calib_038,vinl2vis_05197,calib_038__vinl2vis_05197.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số forest area (% of land area) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the forest area as a percentage of land area for various countries. The query asks for the data for Brunei, which is represented by the tallest bar in the chart."
calib_039,vinl2vis_23436,calib_039__vinl2vis_23436.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net trade in goods and services (bop, current us$) mẫu 15.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the net trade in goods and services (bop, current US$) for 15 countries. The x-axis represents the years from 1970 to 2020, and the y-axis shows the net trade value in billions of US dollars."
calib_040,vinl2vis_25237,calib_040__vinl2vis_25237.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, spain (current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the net bilateral aid flows from DAC donors, specifically Spain, to various countries. The data is presented in current US dollars and is categorized by country."
calib_041,vinl2vis_29991,calib_041__vinl2vis_29991.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,unknown,"The chart is a bar chart with multiple bars representing different countries. The x-axis shows the years, and the y-axis represents the value of each country."
calib_042,vinl2vis_22757,calib_042__vinl2vis_22757.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số primary income payments (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the primary income payments in current US dollars for 16 countries. The x-axis represents the countries, and the y-axis shows the value of these payments."
calib_043,vinl2vis_23396,calib_043__vinl2vis_23396.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net primary income (bop, current us$) mẫu 15.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart that displays the net primary income (in billion US dollars) for each country over time. The x-axis represents the years, and the y-axis represents the net primary income in billions of US dollars."
calib_044,vinl2vis_28150,calib_044__vinl2vis_28150.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,no,yes,not_applicable,yes,none,high,"The chart is a line chart, but the query asks for a multi-turn chart. The language of the query is Vietnamese."
calib_045,vinl2vis_33544,calib_045__vinl2vis_33544.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số total reserves (% of total external debt).,bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the total reserves as a percentage of external debt for various countries. The x-axis represents different countries, and the y-axis shows the percentage value."
calib_046,vinl2vis_28190,calib_046__vinl2vis_28190.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines representing different countries. The x-axis represents the years, and the y-axis represents the value of the metric."
calib_047,vinl2vis_28710,calib_047__vinl2vis_28710.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart is a line chart with multiple lines, each representing different data points. The x-axis shows the time period, and the y-axis shows the financial metric."
calib_048,vinl2vis_04757,calib_048__vinl2vis_04757.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số fertilizer consumption (% of fertilizer production) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The chart is a bar chart that displays the percentage of fertilizer consumption for each country, with a focus on Vietnam."
calib_049,vinl2vis_27790,calib_049__vinl2vis_27790.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,no,yes,not_applicable,unclear,none,low,The chart is not readable due to the lack of labels and a clear title.
