model_a,model_b,n,overall_exact_agreement_pct,overall_kappa,primary_error_exact_agreement_pct,primary_error_kappa
bakllava_latest,gemini_gemini_2_5_flash,15,66.667,0.2105,0.0,0.0
bakllava_latest,granite3_2_vision_latest,15,66.667,0.0,0.0,0.0
bakllava_latest,llama3_2_vision_11b,15,66.667,0.0,0.0,0.0
bakllava_latest,llava:7b,15,6.667,0.0,26.667,0.0
bakllava_latest,llava_llama3_8b,15,66.667,0.0,0.0,0.0
bakllava_latest,minicpm-v,15,66.667,0.0,0.0,0.0
bakllava_latest,openai_gpt_4o,15,60.0,0.0526,0.0,0.0
bakllava_latest,qwen2.5vl:3b,15,66.667,0.0,0.0,0.0
bakllava_latest,qwen3-vl:4b,15,66.667,0.0,0.0,0.0
gemini_gemini_2_5_flash,granite3_2_vision_latest,26,76.923,0.093,80.769,0.0
gemini_gemini_2_5_flash,llama3_2_vision_11b,26,76.923,-0.0331,76.923,-0.0331
gemini_gemini_2_5_flash,llava:7b,26,11.538,-0.0118,0.0,-0.0305
gemini_gemini_2_5_flash,llava_llama3_8b,26,80.769,0.0,23.077,0.0545
gemini_gemini_2_5_flash,minicpm-v,26,80.769,0.0,80.769,0.0
gemini_gemini_2_5_flash,openai_gpt_4o,26,88.462,0.5979,88.462,0.6139
gemini_gemini_2_5_flash,qwen2.5vl:3b,26,80.769,0.0,80.769,0.0
gemini_gemini_2_5_flash,qwen3-vl:4b,26,80.769,0.0,80.769,0.0
granite3_2_vision_latest,llama3_2_vision_11b,32,87.5,-0.0667,93.75,0.0
granite3_2_vision_latest,llava:7b,240,7.5,0.0092,0.833,0.0
granite3_2_vision_latest,llava_llama3_8b,80,88.75,-0.0112,15.0,0.0
granite3_2_vision_latest,minicpm-v,240,84.167,-0.0106,95.0,0.0
granite3_2_vision_latest,openai_gpt_4o,240,64.167,0.0611,70.0,0.0
granite3_2_vision_latest,qwen2.5vl:3b,240,87.917,0.0219,99.167,0.0
granite3_2_vision_latest,qwen3-vl:4b,240,77.083,0.0523,85.833,0.0
llama3_2_vision_11b,llava:7b,32,3.125,0.006,3.125,0.0139
llama3_2_vision_11b,llava_llama3_8b,32,93.75,0.0,15.625,-0.0237
llama3_2_vision_11b,minicpm-v,32,93.75,0.0,93.75,0.0
llama3_2_vision_11b,openai_gpt_4o,32,78.125,-0.0467,78.125,-0.0467
llama3_2_vision_11b,qwen2.5vl:3b,32,93.75,0.0,93.75,0.0
llama3_2_vision_11b,qwen3-vl:4b,32,93.75,0.0,93.75,0.0
llava:7b,llava_llama3_8b,80,0.0,-0.0061,0.0,-0.0033
llava:7b,minicpm-v,240,1.667,-0.0089,0.833,-0.0008
llava:7b,openai_gpt_4o,240,6.667,-0.0858,4.167,-0.0007
llava:7b,qwen2.5vl:3b,240,0.833,0.0001,0.417,-0.0061
llava:7b,qwen3-vl:4b,240,5.833,-0.0109,5.833,0.0168
llava_llama3_8b,minicpm-v,80,98.75,0.0,13.75,-0.0127
llava_llama3_8b,openai_gpt_4o,80,72.5,-0.0244,13.75,0.0302
llava_llama3_8b,qwen2.5vl:3b,80,98.75,0.0,15.0,0.0
llava_llama3_8b,qwen3-vl:4b,80,93.75,-0.0204,20.0,0.0192
minicpm-v,openai_gpt_4o,240,73.333,0.1656,69.583,0.0916
minicpm-v,qwen2.5vl:3b,240,95.417,0.1448,94.583,0.0633
minicpm-v,qwen3-vl:4b,240,85.833,0.191,83.75,0.1184
openai_gpt_4o,qwen2.5vl:3b,240,69.583,0.0014,69.583,0.0052
openai_gpt_4o,qwen3-vl:4b,240,75.0,0.2991,67.083,0.1695
qwen2.5vl:3b,qwen3-vl:4b,240,85.833,0.0443,85.417,0.0183
