case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_001,vinl2vis_30351,calib_001__vinl2vis_30351.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,unclear,yes,no,not_applicable,unclear,wrong_fields,low,"The chart is not a bar chart, it is a line chart with countries on the x-axis and some sort of numerical data on the y-axis. The query asks for a bar chart by country, but the image provided does not show a bar chart."
calib_002,vinl2vis_29110,calib_002__vinl2vis_29110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,unclear,yes,yes,not_applicable,no,wrong_chart_type,low,"The chart provided is a bar chart, not a line chart as requested in the query."
calib_003,vinl2vis_05436,calib_003__vinl2vis_05436.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số livestock production index (2014-2016 = 100) mẫu 15.,line,unclear,yes,no,not_applicable,no,unclear,low,"The chart is a line graph, but it does not have labels for the axes or the data points. It also appears to be missing some of the expected fields from the query."
calib_004,vinl2vis_29510,calib_004__vinl2vis_29510.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,unclear,yes,yes,not_applicable,no,wrong_chart_type,low,"The chart is a bar chart, not a line chart as requested in the query."
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",bar,unclear,yes,no,not_applicable,no,wrong_chart_type,low,"The chart is a bar chart, but it does not represent portfolio investment net (bop, current us$). The query asks for a specific type of data visualization that is not provided."
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",bar,unclear,yes,no,not_applicable,unclear,wrong_fields,medium,"The chart is a bar chart, but it does not seem to be displaying the correct data. The query asks for net bilateral aid flows from DAC donors, Switzerland, by country, but the chart shows a different type of data with labels that do not correspond to the query."
calib_007,vinl2vis_26311,calib_007__vinl2vis_26311.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,unclear,yes,yes,not_applicable,no,wrong_chart_type,low,"The chart is a bar chart, but it does not seem to be displaying the expected data. The query asks for a bar chart of countries by the latest year, but this image shows a line graph with various countries and numbers that do not correspond to the query."
calib_008,vinl2vis_30310,calib_008__vinl2vis_30310.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,unclear,yes,yes,not_applicable,no,wrong_chart_type,low,"The chart provided is a bar chart, not a line chart as requested in the query."
calib_009,vinl2vis_28750,calib_009__vinl2vis_28750.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,unclear,yes,yes,not_applicable,no,wrong_chart_type,low,"The chart provided is a bar chart, not a line chart as requested in the query."
calib_010,vinl2vis_28871,calib_010__vinl2vis_28871.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,unclear,yes,no,not_applicable,unclear,wrong_fields,low,"The chart is not a bar chart, it is a line chart with countries on the x-axis and a single year on the y-axis. The query asks for a bar chart by country, but the image provided does not show a bar chart."
calib_011,vinl2vis_05196,calib_011__vinl2vis_05196.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 15.,line,unclear,yes,no,not_applicable,no,unclear,low,"The chart is a line graph, but it does not appear to be related to forest area as a percentage of land area. The labels are not clear and the data points do not correspond to the expected format for a line graph."
