case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart clearly shows net portfolio investment values for multiple countries with readable labels and a legend.
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart correctly displays net bilateral aid flows from Switzerland to various countries with clear labels and values.
calib_022,vinl2vis_32864,calib_022__vinl2vis_32864.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,bar,yes,no,no,not_applicable,no,missing_labels,high,Labels are unreadable due to overlapping text and unclear axis labels.
calib_024,vinl2vis_32784,calib_024__vinl2vis_32784.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, domestic (% of total freshwater withdrawal).",bar,yes,no,no,not_applicable,no,missing_labels,high,Labels are unreadable due to overlapping text and unclear axis labels.
calib_026,vinl2vis_05116,calib_026__vinl2vis_05116.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số tree cover loss (hectares) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,The line chart correctly displays tree cover loss (hectares) over years for multiple countries with clear labels and legend.
calib_029,vinl2vis_31664,calib_029__vinl2vis_31664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions from waste (mt co2e).,bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart correctly displays N2O emissions for each country with clear labels and values.
calib_034,vinl2vis_30464,calib_034__vinl2vis_30464.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số methane (ch4) emissions from transport (energy) (mt co2e).,bar,yes,no,no,not_applicable,no,missing_labels,high,The chart has unreadable labels and missing relevant fields for ranking methane emissions.
calib_035,vinl2vis_31984,calib_035__vinl2vis_31984.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số population in urban agglomerations of more than 1 million.,bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart correctly displays population in urban agglomerations for the specified countries with clear labels and values.
calib_036,vinl2vis_25201,calib_036__vinl2vis_25201.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, denmark (current us$) mẫu 20.",empty_or_broken,no,no,no,not_applicable,no,empty_or_broken,high,The chart is completely empty with no data points or lines visible.
calib_047,vinl2vis_28710,calib_047__vinl2vis_28710.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,no,yes,not_applicable,no,missing_labels,high,Chart has multiple lines but lacks country labels or axis labels to identify which line corresponds to which country.
