case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_001,vinl2vis_30351,calib_001__vinl2vis_30351.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart effectively compares the specified countries using the latest year.
calib_002,vinl2vis_29110,calib_002__vinl2vis_29110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively shows trends by country over time.
calib_003,vinl2vis_05436,calib_003__vinl2vis_05436.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số livestock production index (2014-2016 = 100) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively represents the livestock production index over time.
calib_004,vinl2vis_29510,calib_004__vinl2vis_29510.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively shows trends by country over time.
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",boxplot,no,no,yes,not_applicable,no,wrong_chart_type,high,The chart type does not match the expected bar chart.
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart effectively compares net bilateral aid flows from DAC donors for the specified countries.
calib_007,vinl2vis_26311,calib_007__vinl2vis_26311.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart effectively compares the countries using the latest year data.
calib_008,vinl2vis_30310,calib_008__vinl2vis_30310.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively shows trends by country over time.
calib_009,vinl2vis_28750,calib_009__vinl2vis_28750.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively shows trends over time by country.
calib_010,vinl2vis_28871,calib_010__vinl2vis_28871.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart effectively compares countries using the latest year data.
calib_011,vinl2vis_05196,calib_011__vinl2vis_05196.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively represents forest area percentages over time for multiple countries.
calib_012,vinl2vis_23557,calib_012__vinl2vis_23557.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số foreign direct investment, net (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,not_applicable,yes,none,high,The chart effectively compares foreign direct investment across countries.
calib_013,vinl2vis_05396,calib_013__vinl2vis_05396.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số food production index (2014-2016 = 100) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,The chart effectively represents the food production index over time.
