sample_id,source_bucket,source_artifact,dataset_id,query_type,language,expected_chart_family,query,image_path,existing_vlm_issue,existing_vlm_judgment,deterministic_evidence,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
vinl2vis_30351,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_en_ghg_ch4_ip_mt_ce_ar5_methane_ch4_emissions_from_industrial_processe,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_30351.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,no,yes,no,data_mismatch,5,
vinl2vis_29110,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_elc_rnwx_zs_electricity_production_from_renewable_sources_excluding,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_29110.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,yes,no,data_mismatch,5,
vinl2vis_05436,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_ag_prd_lvsk_xd_livestock_production_index_2014_2016_100,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số livestock production index (2014-2016 = 100) mẫu 15.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_05436.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,yes,yes,none,5,
vinl2vis_29510,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_use_pcap_kg_oe_energy_use_kg_of_oil_equivalent_per_capita,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_29510.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,no,yes,yes,none,5,
vinl2vis_23602,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_bn_klt_ptxl_cd_portfolio_investment_net_bop_current_us,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_23602.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,scatter,no,no,no,yes,no,data_mismatch,5,
vinl2vis_25082,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dc_dac_chel_cd_net_bilateral_aid_flows_from_dac_donors_switzerland_cur,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_25082.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,yes,none,4,
vinl2vis_26311,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_dod_mwbg_cd_ibrd_loans_and_ida_credits_dod_current_us,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_26311.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,yes,none,5,
vinl2vis_30310,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_en_ghg_ch4_ic_mt_ce_ar5_methane_ch4_emissions_from_industrial_combusti,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_30310.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,no,no,wrong_chart_type,5,
vinl2vis_28750,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_elc_coal_zs_electricity_production_from_coal_sources_of_total,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_28750.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,scatter,no,no,no,yes,yes,none,4,
vinl2vis_28871,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_elc_loss_zs_electric_power_transmission_and_distribution_losses_of_,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_28871.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,no,no,yes,none,5,
