case_id,sample_id,case_family,evidence_strength,source_artifact,run_key,issue,dataset_id,query_type,language,expected_chart_family,query,notes
stress230_001,vinl2vis_29151,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout4b_visualfix,wrong_chart_type,wbexp_asean_eg_fec_rnew_zs_renewable_energy_consumption_of_total_final_energy_cons,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",Fixed in heldout860_qwen3_4b_auditfix_v2; targeted qwen3-vl rerun accepted 8/8.
stress230_002,vinl2vis_26591,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout4b_visualfix,wrong_chart_type,wbexp_asean_dt_nfl_imfn_cd_net_financial_flows_imf_nonconcessional_nfl_current_us,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",Fixed in heldout860_qwen3_4b_auditfix_v2; targeted qwen3-vl rerun accepted 8/8.
stress230_003,vinl2vis_31704,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout4b_visualfix,wrong_chart_type,wbexp_asean_en_ghg_n2o_zg_ar5_nitrous_oxide_n2o_emissions_total_excluding_lulucf_c,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions (total) excluding lulucf (% change from 1990).,Fixed in heldout860_qwen3_4b_auditfix_v2; targeted qwen3-vl rerun accepted 8/8.
stress230_004,vinl2vis_26591,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout8b_intermediate,wrong_chart_type,wbexp_asean_dt_nfl_imfn_cd_net_financial_flows_imf_nonconcessional_nfl_current_us,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.","Use before/after targeted reruns only, not as residual failure count."
stress230_005,vinl2vis_32864,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout4b_visualfix,wrong_chart_type,wbexp_asean_er_h2o_fwst_zs_level_of_water_stress_freshwater_withdrawal_as_a_propor,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,Fixed in heldout860_qwen3_4b_auditfix_v2; targeted qwen3-vl rerun accepted 8/8.
stress230_006,vinl2vis_32984,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout4b_visualfix,wrong_chart_type,wbexp_asean_er_h2o_intr_k3_renewable_internal_freshwater_resources_total_billion_c,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số renewable internal freshwater resources, total (billion cubic meters).",Fixed in heldout860_qwen3_4b_auditfix_v2; targeted qwen3-vl rerun accepted 8/8.
stress230_007,vinl2vis_28591,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout8b_intermediate,wrong_chart_type,wbexp_asean_eg_egy_prim_pp_kd_energy_intensity_level_of_primary_energy_mj_2021_ppp,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.","Use before/after targeted reruns only, not as residual failure count."
stress230_008,vinl2vis_29151,repair_confirmed_known_bad,repair_confirmed,vlm_consensus_failure_cases.csv,heldout8b_intermediate,wrong_chart_type,wbexp_asean_eg_fec_rnew_zs_renewable_energy_consumption_of_total_final_energy_cons,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.","Use before/after targeted reruns only, not as residual failure count."
stress230_009,vinl2vis_04833,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_agri_k2_agricultural_land_sq_km,explicit,en,line,"Show agricultural land (sq. km) for ASEAN countries, variant 12.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_010,vinl2vis_04798,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_con_fert_zs_fertilizer_consumption_kilograms_per_hectare_of_arable_,explicit,en,line,"Show fertilizer consumption (kilograms per hectare of arable land) for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
